   -0.469358772039413452E+01    0.274965844154357930E+00    0.208378287720680233E-01    0.113589907550811761E+00    0.278189301967620839E+01    0.909220082759857107E+00    0.620015795612335197E+02    0.100109636642515132E+01   -0.100000000000000002E+31   -0.599146350544150419E+01    1
   -0.194066315889358521E+01    0.304530349969863889E+00    0.239284427738189719E-01    0.133613994312286377E+00    0.275076004028320309E+01    0.932566054582595783E+00    0.755733087897300777E+02    0.998410300993909261E+00   -0.100000000000000002E+31   -0.599396350544151169E+01    1
   -0.328990727663040161E+01    0.211692551374435434E+00    0.230387998461723323E-01    0.122351891326904300E+00    0.274946378231048572E+01    0.921669989585876426E+00    0.669758540070056938E+02    0.100167892438690664E+01   -0.100000000000000002E+31   -0.599646350544151474E+01    1
   -0.193961381912231445E+01    0.307641301155090308E+00    0.205222378516197214E-01    0.119870738983154285E+00    0.273038602352142323E+01    0.931082560062408415E+00    0.719256781220436068E+02    0.100465550918810109E+01   -0.100000000000000002E+31   -0.599896350544151957E+01    1
   -0.859947204589843750E+00    0.199072525501251235E+00    0.229161040496826188E-01    0.111751627922058103E+00    0.274330933570861824E+01    0.913013678550720131E+00    0.603834963285923010E+02    0.100107169252790484E+01   -0.100000000000000002E+31   -0.600146350544151552E+01    1
   -0.249125868082046509E+01    0.228066668510437026E+00    0.235722152137756366E-01    0.111780886745452876E+00    0.278458394050598113E+01    0.906159176588058446E+00    0.604732057237625114E+02    0.997366057952706719E+00   -0.100000000000000002E+31   -0.600396350544151858E+01    1
   -0.232323408126831055E+01    0.292388061285018930E+00    0.236325308561325075E-01    0.125428921508789065E+00    0.280426328659057589E+01    0.952526737689971870E+00    0.672155372953414911E+02    0.100136153927699745E+01   -0.100000000000000002E+31   -0.600646350544151630E+01    1
   -0.727844238281250000E+00    0.175281918048858648E-01    0.210590882349014283E-01    0.107508490848541249E+00    0.341727966785430892E+01    0.101704391932487481E+01    0.734301720452308615E+02    0.100192009257277470E+01   -0.140031272095494089E+06   -0.600896350544152469E+01    1
   -0.884572863578796387E+00    0.749815380573272683E-01    0.217496034383773823E-01    0.102190962982177724E+00    0.342637935161590557E+01    0.991725983381271270E+00    0.580633262753486576E+02    0.999356701123422231E+00   -0.980610232238096360E+05   -0.601146350544151886E+01    1
   -0.769051909446716309E-01    0.582898294925689731E-01    0.234663590764999409E-01    0.129310725116729724E+00    0.340907695770263652E+01    0.995306497335433971E+00    0.603338815057277671E+02    0.100037666369806244E+01   -0.695617601177224133E+05   -0.601396350544150859E+01    1
   -0.410889446735382080E+01    0.246224150657653795E+00    0.230202526473999025E-01    0.131926043701171863E+00    0.282022852420806869E+01    0.910397428274154596E+00    0.642433070850372303E+02    0.999478868481699534E+00   -0.682108435891937843E+05   -0.601646350544151520E+01    1
   -0.243850022554397583E+01    0.539026474952697746E-01    0.219407126235961931E-01    0.102196566009521483E+00    0.335448769569396976E+01    0.100904051971435549E+01    0.636481037580966955E+02    0.100366949496838109E+01   -0.646015460838918953E+05   -0.601896350544151559E+01    1
   -0.134251892566680908E+01    0.269071242809295674E+00    0.221399173998832709E-01    0.117864082717895502E+00    0.281268739700317383E+01    0.913192791461944542E+00    0.704277428472042004E+02    0.995657270896104563E+00   -0.642468172544189438E+05   -0.602146350544152753E+01    1
